tmin	tmax	tavg
2006-06-01	15.97	37.02	26.776875
2006-06-02	16.88	37.91	26.7445833333333
2006-06-03	17.63	37.77	25.781875
2006-06-04	17.53	37.25	24.6129166666667
2006-06-05	17.45	34.99	23.9825
2006-06-06	16.87	34.32	23.8516666666667
2006-06-07	17.11	38.25	25.5910416666667
2006-06-08	17.16	37.54	26.7002083333333
2006-06-09	17.89	37.31	26.9341666666667
2006-06-10	18.32	37.49	26.945625
2006-06-11	17.12	36.91	25.9747916666667
2006-06-12	17.63	35.4	26.4097916666667
2006-06-13	18.91	37.65	27.2547916666667
2006-06-14	19.17	36.04	26.9908333333333
2006-06-15	20.45	37.64	27.605
2006-06-16	20.52	35.79	26.83625
2006-06-17	20.11	36.78	27.4575
2006-06-18	18.98	37.86	27.6489583333333
2006-06-19	18.77	38.59	27.6275
2006-06-20	18.12	36.43	26.3941666666667
2006-06-21	19.4	37.32	27.5020833333333
2006-06-22	19.73	37.67	28.1979166666667
2006-06-23	19.63	37.66	28.7583333333333
2006-06-24	22.02	37.93	30.006875
2006-06-25	23.08	36.82	30.245625
2006-06-26	21.61	37.67	30.0775
2006-06-27	23.06	37.37	30.294375
2006-06-28	23.5	36.02	30.1858333333333
2006-06-29	25	37.42	31.41125
2006-06-30	23.96	39.71	32.2477083333333
2006-07-01	22.01	39.53	30.315625
2006-07-02	20.77	37.08	28.7660416666667
2006-07-03	22.66	37.45	29.7585416666667
2006-07-04	21.25	38.89	29.8977083333333
2006-07-05	21.33	37.62	29.3602083333333
2006-07-06	21.6	37.27	29.7727083333333
2006-07-07	22.27	39.05	30.8610416666667
2006-07-08	22.73	39.79	30.8739583333333
2006-07-09	22.62	38.51	29.6995833333333
2006-07-10	23.03	35.86	29.8454166666667
2006-07-11	23.98	37.32	30.2741666666667
2006-07-12	25.33	38.85	31.3916666666667
2006-07-13	24.84	38.89	31.2614583333333
2006-07-14	25.53	38.25	31.3129166666667
2006-07-15	23.39	35.69	29.2535416666667
2006-07-16	25.39	36.12	30.5722916666667
2006-07-17	24.68	37.01	31.0802083333333
2006-07-18	25.06	38.69	32.1116666666667
2006-07-19	24.69	39.57	32.2720833333333
2006-07-20	25.43	38.05	31.6166666666667
2006-07-21	25.22	37.06	31.301875
2006-07-22	26.77	38.01	31.788125
2006-07-23	25.7	38.91	31.6797916666667
2006-07-24	26.22	36.17	30.8377083333333
2006-07-25	24.42	28.81	26.134375
2006-07-26	25.4	33.14	28.4058333333333
2006-07-27	23.73	33.04	28.4339583333333
2006-07-28	25.66	34.99	29.9735416666667
2006-07-29	24.77	35.7	29.6241666666667
2006-07-30	23.77	35.95	29.3104166666667
2006-07-31	23.67	35.51	29.4102083333333
2006-08-01	23.83	35.15	29.648125
2006-08-02	24.08	36.33	30.0777083333333
2006-08-03	23.68	37.06	29.3302083333333
2006-08-04	23.65	37.37	29.6622916666667
2006-08-05	24.26	36.23	30.4583333333333
2006-08-06	23.6	37.6	29.160625
2006-08-07	24.92	31.31	27.00625
2006-08-08	24.34	34.04	27.9089583333333
2006-08-09	22.57	36.76	29.1947916666667
2006-08-10	23.52	36.37	30.2372916666667
2006-08-11	25.05	36.78	30.7464583333333
2006-08-12	24.95	38.07	31.2925
2006-08-13	24.7	38.41	31.4685416666667
2006-08-14	24.66	37.59	31.0670833333333
2006-08-15	24.8	37.43	31.1825
2006-08-16	25.04	37	30.8027083333333
2006-08-17	24.77	37.24	30.7958333333333
